#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
007 - GoldenEye (USA);007 - GoldenEye (USA);Nintendo 64;;1997;Nintendo;Shooter;4;;;;;;;;
007 - The World Is Not Enough (USA);007 - The World Is Not Enough (USA);Nintendo 64;;2000;Electronic Arts;Shooter;4;;;;;;;;
"1080 Snowboarding (Japan, USA) (En,Ja)";"1080 Snowboarding (Japan, USA) (En,Ja)";Nintendo 64;;1998;Nintendo;Snowboarding/Sports;2;;;;;;;;
AeroFighters Assault (USA);AeroFighters Assault (USA);Nintendo 64;;1997;Vic Tokai;Flying;2;;;;;;;;
AeroGauge (USA);AeroGauge (USA);Nintendo 64;;1998;ASCII Entertainment;Driving;2;;;;;;;;
Aidyn Chronicles - The First Mage (USA);Aidyn Chronicles - The First Mage (USA);Nintendo 64;;2001;THQ;Role-Playing;1;;;;;;;;
Air Boarder 64 (Europe);Air Boarder 64 (Europe);Nintendo 64;;1998;GMI;Sports;2;;;;;;;;
All Star Tennis '99 (USA);All Star Tennis '99 (USA);Nintendo 64;;1999;Ubisoft;Sports/Tennis;4;;;;;;;;
All-Star Baseball '99 (USA);All-Star Baseball '99 (USA);Nintendo 64;;1998;Acclaim;Baseball/Sports;4;;;;;;;;
All-Star Baseball 2000 (USA);All-Star Baseball 2000 (USA);Nintendo 64;;1999;Acclaim;Baseball/Sports;4;;;;;;;;
All-Star Baseball 2001 (USA);All-Star Baseball 2001 (USA);Nintendo 64;;2000;Acclaim;Baseball/Sports;4;;;;;;;;
Armorines - Project S.W.A.R.M. (USA);Armorines - Project S.W.A.R.M. (USA);Nintendo 64;;1999;Acclaim;Shooter;4;;;;;;;;
Army Men - Air Combat (USA);Army Men - Air Combat (USA);Nintendo 64;;2000;3DO;Action;4;;;;;;;;
Army Men - Sarge's Heroes (USA);Army Men - Sarge's Heroes (USA);Nintendo 64;;1999;3DO;Shooter;4;;;;;;;;
Army Men - Sarge's Heroes 2 (USA);Army Men - Sarge's Heroes 2 (USA);Nintendo 64;;2000;3DO;Shooter;4;;;;;;;;
Asteroids Hyper 64 (USA);Asteroids Hyper 64 (USA);Nintendo 64;;1999;Crave;Shoot-'Em-Up;2;;;;;;;;
Automobili Lamborghini (USA);Automobili Lamborghini (USA);Nintendo 64;;1997;Titus Software;Driving;4;;;;;;;;
Banjo-Kazooie (USA) (Rev A);Banjo-Kazooie (USA) (Rev A);Nintendo 64;;1998;Nintendo;Platform;1;;;;;;;;
Banjo-Tooie (USA);Banjo-Tooie (USA);Nintendo 64;;2000;Nintendo;Platform;4;;;;;;;;
Bassmasters 2000 (USA);Bassmasters 2000 (USA);Nintendo 64;;1999;THQ;Fishing/Sports;2;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond - Return of the Joker (USA);Nintendo 64;;2000;Ubisoft;Beat-'Em-Up;1;;;;;;;;
BattleTanx (USA);BattleTanx (USA);Nintendo 64;;1998;3DO;Action;4;;;;;;;;
BattleTanx - Global Assault (USA);BattleTanx - Global Assault (USA);Nintendo 64;;1999;3DO;Action;4;;;;;;;;
Battlezone - Rise of the Black Dogs (USA);Battlezone - Rise of the Black Dogs (USA);Nintendo 64;;2000;Crave;Strategy;4;;;;;;;;
"Beetle Adventure Racing! (USA) (En,Fr,De)";"Beetle Adventure Racing! (USA) (En,Fr,De)";Nintendo 64;;1999;EA Sports;Driving;4;;;;;;;;
Big Mountain 2000 (USA);Big Mountain 2000 (USA);Nintendo 64;;2000;SouthPeak Games;Snowboarding/Sports;2;;;;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);Nintendo 64;;1998;Midway;Fighter;2;;;;;;;;
Blast Corps (USA) (Rev A);Blast Corps (USA) (Rev A);Nintendo 64;;1997;Nintendo;Action;1;;;;;;;;
Blues Brothers 2000 (USA);Blues Brothers 2000 (USA);Nintendo 64;;2000;Titus Software;Platform;2;;;;;;;;
Body Harvest (USA);Body Harvest (USA);Nintendo 64;;1998;Midway;Action;1;;;;;;;;
Bomberman 64 (USA);Bomberman 64 (USA);Nintendo 64;;1997;Nintendo;Action;4;;;;;;;;
Bomberman 64 - The Second Attack! (USA);Bomberman 64 - The Second Attack! (USA);Nintendo 64;;2000;Vatical Entertainment;Action;4;;;;;;;;
