#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"10-Yard Fight (USA, Europe)";"10-Yard Fight (USA, Europe)";Nintendo Entertainment System;;1985;Nintendo;Sports/Football;2;;;;;;;;
"1942 (Japan, USA)";"1942 (Japan, USA)";Nintendo Entertainment System;;1986;Capcom;Shoot-'Em-Up;2;;;;;;;;
1943 - The Battle of Midway (USA);1943 - The Battle of Midway (USA);Nintendo Entertainment System;;1988;Capcom;Shoot-'Em-Up;1;;;;;;;;
3-D WorldRunner (USA);3-D WorldRunner (USA);Nintendo Entertainment System;;1987;Acclaim;Action;1;;;;;;;;
720 Degrees (USA);720 Degrees (USA);Nintendo Entertainment System;;1989;Mindscape Inc.;Sports/Skating;1;;;;;;;;
8 Eyes (USA);8 Eyes (USA);Nintendo Entertainment System;;1990;Taxan;Action;2;;;;;;;;
Abadox - The Deadly Inner War (USA);Abadox - The Deadly Inner War (USA);Nintendo Entertainment System;;1990;Milton Bradley;Shoot-'Em-Up;1;;;;;;;;
Action 52 (USA) (Unl);Action 52 (USA) (Unl);Nintendo Entertainment System;;1991;Active Enterprises;Compilation;;;;;;;;;
Adan y Eva (Spain) (Unl);Adan y Eva (Spain) (Unl);Nintendo Entertainment System;;1992;Caltron;Action;;;;;;;;;
"Addams Family, The (USA)";"Addams Family, The (USA)";Nintendo Entertainment System;;1992;Ocean;Platform;1;;;;;;;;
"Addams Family, The - Pugsley's Scavenger Hunt (USA)";"Addams Family, The - Pugsley's Scavenger Hunt (USA)";Nintendo Entertainment System;;1993;Ocean;Platform;1;;;;;;;;
Advanced Dungeons & Dragons - DragonStrike (USA);Advanced Dungeons & Dragons - DragonStrike (USA);Nintendo Entertainment System;;1992;Pony Canyon;Role-Playing;2;;;;;;;;
Advanced Dungeons & Dragons - Heroes of the Lance (USA);Advanced Dungeons & Dragons - Heroes of the Lance (USA);Nintendo Entertainment System;;1991;Pony Canyon;Role-Playing;1;;;;;;;;
Advanced Dungeons & Dragons - Hillsfar (USA);Advanced Dungeons & Dragons - Hillsfar (USA);Nintendo Entertainment System;;1993;"FCI, Inc.";Role-Playing;1;;;;;;;;
Advanced Dungeons & Dragons - Pool of Radiance (USA);Advanced Dungeons & Dragons - Pool of Radiance (USA);Nintendo Entertainment System;;1992;"FCI, Inc.";Role-Playing;1;;;;;;;;
Adventure Island (USA);Adventure Island (USA);Nintendo Entertainment System;;1988;Hudson;Platform;1;;;;;;;;
Adventure Island 3 (USA);Adventure Island 3 (USA);Nintendo Entertainment System;;1992;Hudson;Platform;1;;;;;;;;
Adventure Island II (USA);Adventure Island II (USA);Nintendo Entertainment System;;1992;Hudson;Platform;1;;;;;;;;
Adventures in the Magic Kingdom (USA);Adventures in the Magic Kingdom (USA);Nintendo Entertainment System;;1990;Capcom;Action;1;;;;;;;;
"Adventures of Bayou Billy, The (USA)";"Adventures of Bayou Billy, The (USA)";Nintendo Entertainment System;;1989;Konami;Beat-'Em-Up;1;;;;;;;;
Adventures of Dino Riki (USA);Adventures of Dino Riki (USA);Nintendo Entertainment System;;1989;Hudson Soft;Shooter;1;;;;;;;;
"Adventures of Dr. Franken, The (USA) (Proto)";"Adventures of Dr. Franken, The (USA) (Proto)";Nintendo Entertainment System;;1991;Cygnus;Platform;;;;;;;;;
"Adventures of Gilligan's Island, The (USA)";"Adventures of Gilligan's Island, The (USA)";Nintendo Entertainment System;;1990;Bandai;Action;1;;;;;;;;
Adventures of Lolo (USA);Adventures of Lolo (USA);Nintendo Entertainment System;;1989;HAL Labs;Puzzle;1;;;;;;;;
Adventures of Lolo 2 (USA);Adventures of Lolo 2 (USA);Nintendo Entertainment System;;1990;HAL Labs;Puzzle;1;;;;;;;;
Adventures of Lolo 3 (USA);Adventures of Lolo 3 (USA);Nintendo Entertainment System;;1991;HAL Labs;Puzzle;1;;;;;;;;
"Adventures of Rad Gravity, The (USA)";"Adventures of Rad Gravity, The (USA)";Nintendo Entertainment System;;1990;Activision;Platform;1;;;;;;;;
"Adventures of Rocky and Bullwinkle and Friends, The (USA)";"Adventures of Rocky and Bullwinkle and Friends, The (USA)";Nintendo Entertainment System;;1992;THQ;Platform;;;;;;;;;
Adventures of Tom Sawyer (USA);Adventures of Tom Sawyer (USA);Nintendo Entertainment System;;1989;Seta Corporation;Action;2;;;;;;;;
After Burner (USA) (Unl);After Burner (USA) (Unl);Nintendo Entertainment System;;1989;Tengen;Flying;;;;;;;;;
Air Fortress (USA);Air Fortress (USA);Nintendo Entertainment System;;1989;Hal;Shoot-'Em-Up;1;;;;;;;;
Airball (USA) (Proto);Airball (USA) (Proto);Nintendo Entertainment System;;1990;Tengen;Action;;;;;;;;;
Airwolf (USA);Airwolf (USA);Nintendo Entertainment System;;1989;Acclaim;Flying;1;;;;;;;;
