#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
2nd Space (Asia) (Unl);2nd Space (Asia) (Unl);Nintendo Game Boy;;1993;Sachen;Puzzle;;;;;;;;;
"4-in-1 Fun Pak (USA, Europe)";"4-in-1 Fun Pak (USA, Europe)";Nintendo Game Boy;;1992;Interplay;Mini-Games;2;;;;;;;;
"4-in-1 Fun Pak Volume II (USA, Europe)";"4-in-1 Fun Pak Volume II (USA, Europe)";Nintendo Game Boy;;1993;Interplay;Mini-Games;2;;;;;;;;
A-Force (Asia) (Unl);A-Force (Asia) (Unl);Nintendo Game Boy;;1993;Sachen;Shoot-'Em-Up;;;;;;;;;
A-mazing Tater (USA);A-mazing Tater (USA);Nintendo Game Boy;;1992;Atlus Co.;Puzzle;;;;;;;;;
"Addams Family, The (USA)";"Addams Family, The (USA)";Nintendo Game Boy;;1992;Ocean;Platform;1;;;;;;;;
"Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)";"Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)";Nintendo Game Boy;;1993;Ocean;Platform;1;;;;;;;;
"Adventure Island (USA, Europe)";"Adventure Island (USA, Europe)";Nintendo Game Boy;;1992;Hudson;Platform;;;;;;;;;
"Adventure Island II - Aliens in Paradise (USA, Europe)";"Adventure Island II - Aliens in Paradise (USA, Europe)";Nintendo Game Boy;;1993;Hudson;Platform;1;;;;;;;;
Adventures of Lolo (Europe);Adventures of Lolo (Europe);Nintendo Game Boy;;1995;Nintendo;Puzzle;1;;;;;;;;
"Adventures of Rocky and Bullwinkle and Friends, The (USA)";"Adventures of Rocky and Bullwinkle and Friends, The (USA)";Nintendo Game Boy;;1992;THQ;Platform;;;;;;;;;
"Adventures of Star Saver, The (USA, Europe)";"Adventures of Star Saver, The (USA, Europe)";Nintendo Game Boy;;1992;Taito Corporation;Platform;1;;;;;;;;
"Aerostar (USA, Europe)";"Aerostar (USA, Europe)";Nintendo Game Boy;;1991;Vic Tokai;Shoot-'Em-Up;1;;;;;;;;
After Burst (Japan);After Burst (Japan);Nintendo Game Boy;;1990;Dual;Action;;;;;;;;;
Agro Soar (Australia);Agro Soar (Australia);Nintendo Game Boy;;1993;Beam Software;Platform;;;;;;;;;
Aladdin (USA);Aladdin (USA);Nintendo Game Boy;;1995;Virgin Interactive;Platform;1;;;;;;;;
Alfred Chicken (USA);Alfred Chicken (USA);Nintendo Game Boy;;1994;Mindscape Inc.;Platform;1;;;;;;;;
"Alien 3 (USA, Europe)";"Alien 3 (USA, Europe)";Nintendo Game Boy;;1993;LJN Ltd.;Action;1;;;;;;;;
Alien Olympics (Europe);Alien Olympics (Europe);Nintendo Game Boy;;1992;Ocean;Sports/Olympic;2;;;;;;;;
Alien vs Predator - The Last of His Clan (USA);Alien vs Predator - The Last of His Clan (USA);Nintendo Game Boy;;1993;Activision;Action;;;;;;;;;
All-Star Baseball 99 (USA);All-Star Baseball 99 (USA);Nintendo Game Boy;;1998;Acclaim;Sports/Baseball;;;;;;;;;
Alleyway (World);Alleyway (World);Nintendo Game Boy;;1989;Nintendo;Action;1;;;;;;;;
Altered Space - A 3-D Alien Adventure (USA);Altered Space - A 3-D Alien Adventure (USA);Nintendo Game Boy;;1991;Sony Imagesoft;Puzzle;1;;;;;;;;
"Amazing Penguin (USA, Europe)";"Amazing Penguin (USA, Europe)";Nintendo Game Boy;;1990;Natsume;Action;;;;;;;;;
"Amazing Spider-Man, The (USA, Europe)";"Amazing Spider-Man, The (USA, Europe)";Nintendo Game Boy;;1990;LJN Ltd.;Beat-'Em-Up;1;;;;;;;;
Amida (Japan);Amida (Japan);Nintendo Game Boy;;1990;Sofix;Action;;;;;;;;;
Animaniacs (USA);Animaniacs (USA);Nintendo Game Boy;;1995;Konami;Platform;1;;;;;;;;
Another Bible (Japan) (Translated En);Another Bible (Japan) (Translated En);Nintendo Game Boy;;1995;Dice;Strategy;;;;;;;;;
Ant Soldiers (Asia) (Unl);Ant Soldiers (Asia) (Unl);Nintendo Game Boy;;1993;Sachen;Strategy;;;;;;;;;
"Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe)";"Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe)";Nintendo Game Boy;;1995;Nintendo;Shoot-'Em-Up;2;;;;;;;;
"Arcade Classic No. 2 - Centipede & Millipede (USA, Europe)";"Arcade Classic No. 2 - Centipede & Millipede (USA, Europe)";Nintendo Game Boy;;1995;Nintendo;Shooter;2;;;;;;;;
Arcade Classic No. 3 - Galaga & Galaxian (USA);Arcade Classic No. 3 - Galaga & Galaxian (USA);Nintendo Game Boy;;1995;Nintendo;Shoot-'Em-Up;2;;;;;;;;
"Arcade Classic No. 4 - Defender & Joust (USA, Europe)";"Arcade Classic No. 4 - Defender & Joust (USA, Europe)";Nintendo Game Boy;;1995;Nintendo;Shoot-'Em-Up;2;;;;;;;;
"Arcade Classics - Battlezone & Super Breakout (USA, Europe)";"Arcade Classics - Battlezone & Super Breakout (USA, Europe)";Nintendo Game Boy;;1996;Nintendo;Action;;;;;;;;;
Artic Zone (Asia) (Unl);Artic Zone (Asia) (Unl);Nintendo Game Boy;;1993;Sachen;Puzzle;;;;;;;;;
Asmik-kun World 2 (Japan);Asmik-kun World 2 (Japan);Nintendo Game Boy;;1991;Asmik Ace Entertainment;Action;;;;;;;;;
Asterix & Obelix (Europe);Asterix & Obelix (Europe);Nintendo Game Boy;;1995;Infogrames;Platform;1;;;;;;;;
Asterix (Europe);Asterix (Europe);Nintendo Game Boy;;1993;Infogrames;Platform;1;;;;;;;;
"Asteroids (USA, Europe)";"Asteroids (USA, Europe)";Nintendo Game Boy;;1992;Accolade;Shoot-'Em-Up;2;;;;;;;;
Astro Rabby (Japan);Astro Rabby (Japan);Nintendo Game Boy;;1990;IGS;Action;;;;;;;;;
Atomic Punk (USA);Atomic Punk (USA);Nintendo Game Boy;;1991;Hudson;Action;2;;;;;;;;
"Attack of the Killer Tomatoes (USA, Europe)";"Attack of the Killer Tomatoes (USA, Europe)";Nintendo Game Boy;;1992;THQ;Action;;;;;;;;;
"Avenging Spirit (USA, Europe)";"Avenging Spirit (USA, Europe)";Nintendo Game Boy;;1992;Jaleco Entertainment;Platform;1;;;;;;;;
Baby T-Rex (Europe);Baby T-Rex (Europe);Nintendo Game Boy;;1993;Beam Software;Platform;2;;;;;;;;
"Balloon Kid (USA, Europe)";"Balloon Kid (USA, Europe)";Nintendo Game Boy;;1990;Nintendo;Action;2;;;;;;;;
Bamse (Sweden);Bamse (Sweden);Nintendo Game Boy;;1993;Beam Software;Platform;;;;;;;;;
