#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"007 - The World Is Not Enough (USA, Europe)";"007 - The World Is Not Enough (USA, Europe)";Nintendo Game Boy Color;;2001;Electronic Arts;Action;;;;;;;;;
10-Pin Bowling (USA);10-Pin Bowling (USA);Nintendo Game Boy Color;;1999;Majesco Games;Sports/Bowling;2;;;;;;;;
"102 Dalmatians - Puppies to the Rescue (USA, Europe)";"102 Dalmatians - Puppies to the Rescue (USA, Europe)";Nintendo Game Boy Color;;2000;Activision;Adventure;;;;;;;;;
1942 (USA);1942 (USA);Nintendo Game Boy Color;;2000;Capcom;Shoot-'Em-Up;2;;;;;;;;
3-D Ultra Pinball - Thrillride (USA);3-D Ultra Pinball - Thrillride (USA);Nintendo Game Boy Color;;1995;Sierra Entertainment;Pinball;4;;;;;;;;
3D Pocket Pool (Europe);3D Pocket Pool (Europe);Nintendo Game Boy Color;;2000;Virgin Interactive Entertainment;Pool and Dart;;;;;;;;;
"720 Degrees (USA, Europe)";"720 Degrees (USA, Europe)";Nintendo Game Boy Color;;1999;Midway;Sports;1;;;;;;;;
"Action Man - Search for Base X (USA, Europe)";"Action Man - Search for Base X (USA, Europe)";Nintendo Game Boy Color;;2001;THQ;Action;;;;;;;;;
"Adventures of Elmo in Grouchland, The (USA)";"Adventures of Elmo in Grouchland, The (USA)";Nintendo Game Boy Color;;1999;NewKidCo;Platform;;;;;;;;;
"Adventures of the Smurfs, The (Europe)";"Adventures of the Smurfs, The (Europe)";Nintendo Game Boy Color;;2000;Infogrames;Adventure;;;;;;;;;
AirForce Delta (USA);AirForce Delta (USA);Nintendo Game Boy Color;;2000;Konami;Simulation;2;;;;;;;;
Aladdin (USA);Aladdin (USA);Nintendo Game Boy Color;;2000;Ubisoft;Platform;;;;;;;;;
Alfred's Adventure (Europe);Alfred's Adventure (Europe);Nintendo Game Boy Color;;2000;SCi;Action;;;;;;;;;
Alice in Wonderland (USA);Alice in Wonderland (USA);Nintendo Game Boy Color;;2000;Nintendo;Action;;;;;;;;;
"Aliens - Thanatos Encounter (USA, Europe)";"Aliens - Thanatos Encounter (USA, Europe)";Nintendo Game Boy Color;;2001;THQ;Action;1;;;;;;;;
All Star Tennis 2000 (Europe);All Star Tennis 2000 (Europe);Nintendo Game Boy Color;;1999;Ubisoft;Sports;2;;;;;;;;
"All-Star Baseball 2000 (USA, Europe)";"All-Star Baseball 2000 (USA, Europe)";Nintendo Game Boy Color;;1999;Acclaim;Sports;1;;;;;;;;
All-Star Baseball 2001 (USA);All-Star Baseball 2001 (USA);Nintendo Game Boy Color;;2000;Acclaim;Sports;1;;;;;;;;
Alone in the Dark - The New Nightmare (USA);Alone in the Dark - The New Nightmare (USA);Nintendo Game Boy Color;;2001;Infogames;Adventure;1;;;;;;;;
Animorphs (USA);Animorphs (USA);Nintendo Game Boy Color;;2000;Ubisoft;Adventure;1;;;;;;;;
Antz (USA);Antz (USA);Nintendo Game Boy Color;;1999;Atari;Action;1;;;;;;;;
Antz Racing (USA);Antz Racing (USA);Nintendo Game Boy Color;;2001;Electronic Arts;Driving;2;;;;;;;;
Antz World Sportz (Europe);Antz World Sportz (Europe);Nintendo Game Boy Color;;2001;LSP;Driving;;;;;;;;;
Arcade Hits - Joust & Defender (USA);Arcade Hits - Joust & Defender (USA);Nintendo Game Boy Color;;1999;Midway;Shoot-'Em-Up;;;;;;;;;
Arcade Hits - Moon Patrol & Spy Hunter (USA);Arcade Hits - Moon Patrol & Spy Hunter (USA);Nintendo Game Boy Color;;1999;Midway;Shooter;;;;;;;;;
Armada - FX Racers (USA);Armada - FX Racers (USA);Nintendo Game Boy Color;;2000;Metro3D;Driving;;;;;;;;;
"Armorines - Project S.W.A.R.M. (USA, Europe)";"Armorines - Project S.W.A.R.M. (USA, Europe)";Nintendo Game Boy Color;;1999;Acclaim;Action;1;;;;;;;;
"Army Men (USA, Europe)";"Army Men (USA, Europe)";Nintendo Game Boy Color;;2000;3DO;Action;1;;;;;;;;
Army Men - Air Combat (USA);Army Men - Air Combat (USA);Nintendo Game Boy Color;;2000;3DO;Action;;;;;;;;;
"Army Men - Sarge's Heroes 2 (USA, Europe)";"Army Men - Sarge's Heroes 2 (USA, Europe)";Nintendo Game Boy Color;;2000;3DO;Action;1;;;;;;;;
Army Men 2 (USA);Army Men 2 (USA);Nintendo Game Boy Color;;2000;3DO;Action;2;;;;;;;;
Arthur's Absolutely Fun Day! (USA);Arthur's Absolutely Fun Day! (USA);Nintendo Game Boy Color;;2000;The Learning Company;Action;;;;;;;;;
Asterix & Obelix (Europe);Asterix & Obelix (Europe);Nintendo Game Boy Color;;1999;Infogrames;Platform;1;;;;;;;;
