#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);Sega Genesis;;1994;Malibu;Action;2;;;;;;;;
6-Pak (USA);6-Pak (USA);Sega Genesis;;1996;Sega;Miscellaneous;2;;;;;;;;
"688 Attack Sub (USA, Europe)";"688 Attack Sub (USA, Europe)";Sega Genesis;;1991;Sega;Simulation;;;;;;;;;
AAAHH!!! Real Monsters (USA);AAAHH!!! Real Monsters (USA);Sega Genesis;;1995;Realtime Associates;Action;1;;;;;;;;
ATP Tour Championship Tennis (USA);ATP Tour Championship Tennis (USA);Sega Genesis;;1994;Sega;Sports/Tennis;;;;;;;;;
AWS Pro Moves Soccer (USA);AWS Pro Moves Soccer (USA);Sega Genesis;;1993;ASCII Entertainment;Sports/Soccer;;;;;;;;;
Action 52 (USA) (Unl);Action 52 (USA) (Unl);Sega Genesis;;1993;Farsight Technologies;Miscellaneous;2;;;;;;;;
Addams Family Values (Europe);Addams Family Values (Europe);Sega Genesis;;1994;Ocean;Role-Playing;1;;;;;;;;
"Addams Family, The (USA, Europe)";"Addams Family, The (USA, Europe)";Sega Genesis;;1994;Ocean;Platform;1;;;;;;;;
"Adventures of Batman & Robin, The (USA)";"Adventures of Batman & Robin, The (USA)";Sega Genesis;;1995;Clockwork Games;Platform;2;;;;;;;;
"Adventures of Mighty Max, The (USA)";"Adventures of Mighty Max, The (USA)";Sega Genesis;;1994;WJS Design;Platform;2;;;;;;;;
"Adventures of Rocky and Bullwinkle and Friends, The (USA)";"Adventures of Rocky and Bullwinkle and Friends, The (USA)";Sega Genesis;;1993;Imagineering;Platform;1;;;;;;;;
Aero the Acro-Bat (USA);Aero the Acro-Bat (USA);Sega Genesis;;1993;Iguana Entertainment;Platform;1;;;;;;;;
Aero the Acro-Bat 2 (USA);Aero the Acro-Bat 2 (USA);Sega Genesis;;1994;Iguana Entertainment;Platform;1;;;;;;;;
Aerobiz (USA);Aerobiz (USA);Sega Genesis;;1992;Koei;Strategy;4;;;;;;;;
Aerobiz Supersonic (USA);Aerobiz Supersonic (USA);Sega Genesis;;1994;Koei;Strategy;4;;;;;;;;
"After Burner II (USA, Europe)";"After Burner II (USA, Europe)";Sega Genesis;;1990;Sega;Shooter;1;;;;;;;;
Air Buster (USA);Air Buster (USA);Sega Genesis;;1991;Kaneko;Shooter;2;;;;;;;;
Air Diver (USA);Air Diver (USA);Sega Genesis;;1990;Asmik;Shooter;1;;;;;;;;
Aladdin (USA);Aladdin (USA);Sega Genesis;;1993;Virgin Interactive;Platform;1;;;;;;;;
Alex Kidd in the Enchanted Castle (USA);Alex Kidd in the Enchanted Castle (USA);Sega Genesis;;1989;Sega;Platform;1;;;;;;;;
"Alien 3 (USA, Europe) (Rev A)";"Alien 3 (USA, Europe) (Rev A)";Sega Genesis;;1993;Probe Entertainment;Platform;1;;;;;;;;
Alien Soldier (Europe);Alien Soldier (Europe);Sega Genesis;;1995;Treasure;Platform;1;;;;;;;;
Alien Storm (World);Alien Storm (World);Sega Genesis;;1991;Sega;Beat-'Em-Up;2;;;;;;;;
Alisia Dragoon (USA);Alisia Dragoon (USA);Sega Genesis;;1992;Game Arts;Platform;1;;;;;;;;
"Altered Beast (USA, Europe)";"Altered Beast (USA, Europe)";Sega Genesis;;1989;Sega;Beat-'Em-Up;2;;;;;;;;
American Gladiators (USA);American Gladiators (USA);Sega Genesis;;1992;Imagitec Design;Sports;;;;;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis (USA);Sega Genesis;;1992;TecMagik;Sports/Tennis;2;;;;;;;;
Animaniacs (USA);Animaniacs (USA);Sega Genesis;;1994;Konami;Platform;1;;;;;;;;
"Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe)";"Aquatic Games Starring James Pond and the Aquabats, The (USA, Europe)";Sega Genesis;;1993;Millenium Interactive;Sports;;;;;;;;;
"Arcade Classics (USA, Europe)";"Arcade Classics (USA, Europe)";Sega Genesis;;1996;Al Baker and Associates;Platform;2;;;;;;;;
"Arch Rivals - The Arcade Game (USA, Europe)";"Arch Rivals - The Arcade Game (USA, Europe)";Sega Genesis;;1992;Arc Developments;Sports;2;;;;;;;;
Arcus Odyssey (USA);Arcus Odyssey (USA);Sega Genesis;;1991;Wolf Team;Platform;2;;;;;;;;
"Ariel the Little Mermaid (USA, Europe)";"Ariel the Little Mermaid (USA, Europe)";Sega Genesis;;1992;Bluesky Innovations;Platform;1;;;;;;;;
"Arnold Palmer Tournament Golf (USA, Europe)";"Arnold Palmer Tournament Golf (USA, Europe)";Sega Genesis;;1989;Sega;Sports/Golf;2;;;;;;;;
"Arrow Flash (USA, Europe)";"Arrow Flash (USA, Europe)";Sega Genesis;;1990;Renovation;Shooter;1;;;;;;;;
Art Alive (World);Art Alive (World);Sega Genesis;;1991;Sega;Puzzle;;;;;;;;;
Art of Fighting (USA);Art of Fighting (USA);Sega Genesis;;1994;SNK;Fighter;2;;;;;;;;
Asterix and the Great Rescue (USA);Asterix and the Great Rescue (USA);Sega Genesis;;1994;Sega;Platform;1;;;;;;;;
Asterix and the Power of the Gods (Europe);Asterix and the Power of the Gods (Europe);Sega Genesis;;1995;Core Design;Platform;1;;;;;;;;
Atomic Robo-Kid (USA);Atomic Robo-Kid (USA);Sega Genesis;;1990;Treco;Shooter;1;;;;;;;;
Atomic Runner (USA);Atomic Runner (USA);Sega Genesis;;1992;Data East;Shooter;;;;;;;;;
Australian Rugby League (Europe);Australian Rugby League (Europe);Sega Genesis;;1994;EA Sports;Sports;4;;;;;;;;
Awesome Possum Kicks Dr Machino's Butt! (USA);Awesome Possum Kicks Dr Machino's Butt! (USA);Sega Genesis;;1993;Tengen;Platform;1;;;;;;;;
Ayrton Senna's Super Monaco GP II (USA);Ayrton Senna's Super Monaco GP II (USA);Sega Genesis;;1992;Sega;Driving;1;;;;;;;;
"B.O.B. (USA, Europe)";"B.O.B. (USA, Europe)";Sega Genesis;;1993;Chris Gray Enterprises;Action;1;;;;;;;;
Back to the Future Part III (USA);Back to the Future Part III (USA);Sega Genesis;;1991;Probe Entertainment;Platform;1;;;;;;;;
"Ball Jacks (Japan, Europe)";"Ball Jacks (Japan, Europe)";Sega Genesis;;1993;Namco;Platform;2;;;;;;;;
"Ballz 3D - Fighting at Its Ballziest (USA, Europe)";"Ballz 3D - Fighting at Its Ballziest (USA, Europe)";Sega Genesis;;1994;PF.Magic;Fighter;2;;;;;;;;
Barbie Super Model (USA);Barbie Super Model (USA);Sega Genesis;;1992;Tahoe Software;Platform;2;;;;;;;;
"Barkley Shut Up and Jam! (USA, Europe)";"Barkley Shut Up and Jam! (USA, Europe)";Sega Genesis;;1993;Accolade;Sports/Basketball;4;;;;;;;;
Barkley Shut Up and Jam! 2 (USA);Barkley Shut Up and Jam! 2 (USA);Sega Genesis;;1995;Accolade;Sports/Basketball;4;;;;;;;;
Barney's Hide & Seek Game (USA);Barney's Hide & Seek Game (USA);Sega Genesis;;1993;Realtime Associates;Platform;;;;;;;;;
Bass Masters Classic (USA);Bass Masters Classic (USA);Sega Genesis;;1996;Black Pearl;Sports/Fishing;;;;;;;;;
