#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
007 - The World Is Not Enough (USA);007 - The World Is Not Enough (USA);Sony PlayStation;;2000;Electronic Arts;Shooter;1;;;;;;;;
007 - Tomorrow Never Dies (USA);007 - Tomorrow Never Dies (USA);Sony PlayStation;;2000;Electronic Arts;Shooter;1;;;;;;;;
007 Racing (USA);007 Racing (USA);Sony PlayStation;;2000;Electronic Arts;Driving;2;;;;;;;;
100% Star (Europe);100% Star (Europe);Sony PlayStation;;2001;EIDOS;Strategy;;;;;;;;;
16 Tales 1 (USA);16 Tales 1 (USA);Sony PlayStation;;1996;Lightspan;Miscellaneous;;;;;;;;;
16 Tales 2 (USA);16 Tales 2 (USA);Sony PlayStation;;1996;Lightspan;Miscellaneous;;;;;;;;;
16 Tales 3 (USA);16 Tales 3 (USA);Sony PlayStation;;1996;Lightspan;Miscellaneous;;;;;;;;;
16 Tales 4 (USA);16 Tales 4 (USA);Sony PlayStation;;1996;Lightspan;Miscellaneous;;;;;;;;;
1Xtreme (USA);1Xtreme (USA);Sony PlayStation;;1995;SCEA;Sports;;;;;;;;;
2002 FIFA World Cup (USA);2002 FIFA World Cup (USA);Sony PlayStation;;2002;EA Sports;Sports/Soccer;2;;;;;;;;
"2002 FIFA World Cup Japan Korea (USA) (En,Es)";2002 FIFA World Cup Japan Korea (USA);Sony PlayStation;;2002;EA Sports;Sports/Soccer;2;;;;;;;;
2Xtreme (USA);2Xtreme (USA);Sony PlayStation;;1996;SCEA;Sports;2;;;;;;;;
360 - Three Sixty (Europe);360 - Three Sixty (Europe);Sony PlayStation;;1999;Cryo Interactive;Shooter;;;;;;;;;
3D Baseball (USA);3D Baseball (USA);Sony PlayStation;;1996;Crystal Dynamics;Sports/Baseball;2;;;;;;;;
3D Lemmings (USA);3D Lemmings (USA);Sony PlayStation;;1995;Psygnosis;Puzzle;1;;;;;;;;
3Xtreme (USA);3Xtreme (USA);Sony PlayStation;;1999;989 Sports;Sports;2;;;;;;;;
4-4-2 Soccer (Europe);4-4-2 Soccer (Europe);Sony PlayStation;;1997;Virgin Interactive;Sports/Soccer;;;;;;;;;
40 Winks (USA);40 Winks (USA);Sony PlayStation;;1999;GT Interactive;Action;1;;;;;;;;
5 Star Racing (Europe);5 Star Racing (Europe);Sony PlayStation;;2003;Phoenix Games;Driving;;;;;;;;;
A Bug's Life (USA);A Bug's Life (USA);Sony PlayStation;;1998;SCEA;Action;1;;;;;;;;
"A-Train - Trains, Power, Money (USA) (En,Ja,Fr,De)";"A-Train - Trains, Power, Money (USA)";Sony PlayStation;;1996;Maxis;Simulation;1;;;;;;;;
"A-Train - Trains, Power, Money (USA)";"A-Train - Trains, Power, Money (USA)";Sony PlayStation;;1996;Maxis;Simulation;1;;;;;;;;
A2 Racer - Europa Tour (Netherlands);A2 Racer - Europa Tour (Netherlands);Sony PlayStation;;2002;Davilex;Driving;1;;;;;;;;
AFL '99 (Australia);AFL '99 (Australia);Sony PlayStation;;1999;Electronic Arts;Sports/Football;2;;;;;;;;
ATV - Quad Power Racing (USA);ATV - Quad Power Racing (USA);Sony PlayStation;;2000;Acclaim;Driving;;;;;;;;;
ATV Mania (USA);ATV Mania (USA);Sony PlayStation;;2003;Gotham Games;Driving;2;;;;;;;;
ATV Racers (USA);ATV Racers (USA);Sony PlayStation;;2003;Mud Duck Productions;Driving;1;;;;;;;;
Ace Combat 2 (USA);Ace Combat 2 (USA);Sony PlayStation;;1997;Namco;Flying;1;;;;;;;;
Ace Combat 3 - Electrosphere (USA);Ace Combat 3 - Electrosphere (USA);Sony PlayStation;;2000;Namco;Flying;1;;;;;;;;
Aces of the Air (USA);Aces of the Air (USA);Sony PlayStation;;2002;A1 Games;Flying;1;;;;;;;;
Action Bass (USA);Action Bass (USA);Sony PlayStation;;2000;Take-Two Interactive;Sports/Fishing;1;;;;;;;;
"Action Man - Destruction X (Europe) (En,Fr,De,Es,It)";Action Man - Destruction X (Europe);Sony PlayStation;;2000;3DO;Action;2;;;;;;;;
Action Man - Destruction X (Europe);Action Man - Destruction X (Europe);Sony PlayStation;;2000;3DO;Action;2;;;;;;;;
Action Man - Operation Extreme (USA);Action Man - Operation Extreme (USA);Sony PlayStation;;2000;Hasbro Interactive;Platform;1;;;;;;;;
Activision Classics (USA);Activision Classics (USA);Sony PlayStation;;1998;Activision;Miscellaneous;2;;;;;;;;
Actua Golf 3 (Europe);Actua Golf 3 (Europe);Sony PlayStation;;1999;Gremlin Interactive;Sports/Golf;4;;;;;;;;
Actua Ice Hockey (Europe);Actua Ice Hockey (Europe);Sony PlayStation;;1998;Gremlin Interactive;Sports/Hockey;2;;;;;;;;
Actua Ice Hockey 2 (Europe);Actua Ice Hockey 2 (Europe);Sony PlayStation;;1999;Gremlin Interactive;Sports/Hockey;2;;;;;;;;
"Actua Soccer (Europe) (En,Fr) (v1.1)";Actua Soccer (Europe) (v1.1);Sony PlayStation;;1995;Gremlin Interactive;Sports/Soccer;2;;;;;;;;
Actua Soccer - Club Edition (Europe);Actua Soccer - Club Edition (Europe);Sony PlayStation;;1997;Gremlin Interactive;Sports/Soccer;2;;;;;;;;
"Actua Soccer 2 (Europe) (En,Fr,Es,Nl,Pt,No,Da)";Actua Soccer 2 (Europe);Sony PlayStation;;1997;Gremlin Interactive;Sports/Soccer;2;;;;;;;;
Actua Soccer 2 (Europe);Actua Soccer 2 (Europe);Sony PlayStation;;1997;Gremlin Interactive;Sports/Soccer;2;;;;;;;;
Actua Soccer 3 (Europe);Actua Soccer 3 (Europe);Sony PlayStation;;1998;Gremlin Interactive;Sports/Soccer;2;;;;;;;;
Actua Tennis (Europe);Actua Tennis (Europe);Sony PlayStation;;1998;Gremlin Interactive;Sports/Tennis;2;;;;;;;;
Adiboo & Paziral's Secret (Europe);Adiboo & Paziral's Secret (Europe);Sony PlayStation;;2003;VU Games;Platform;1;;;;;;;;
Adibou et L'Ombre Verte (France);Adibou et L'Ombre Verte (France);Sony PlayStation;;2000;Coktel;Party;;;;;;;;;
Adidas Power Soccer (USA);Adidas Power Soccer (USA);Sony PlayStation;;1996;Psygnosis;Sports/Soccer;2;;;;;;;;
"Adidas Power Soccer 2 (Europe) (En,Fr,De,Es,It,Nl)";Adidas Power Soccer 2 (Europe);Sony PlayStation;;1998;Psygnosis;Sports/Soccer;2;;;;;;;;
Adidas Power Soccer 2 (Europe);Adidas Power Soccer 2 (Europe);Sony PlayStation;;1998;Psygnosis;Sports/Soccer;2;;;;;;;;
Adidas Power Soccer 98 (USA);Adidas Power Soccer 98 (USA);Sony PlayStation;;1998;Psygnosis;Sports/Soccer;2;;;;;;;;
"Adidas Power Soccer International '97 (Europe) (En,Fr,De,Es,It,Nl)";Adidas Power Soccer International '97 (Europe);Sony PlayStation;;1997;Psygnosis;Sports/Soccer;2;;;;;;;;
Adidas Power Soccer International '97 (Europe);Adidas Power Soccer International '97 (Europe);Sony PlayStation;;1997;Psygnosis;Sports/Soccer;2;;;;;;;;
Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA);Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA);Sony PlayStation;;1996;Acclaim;Fighter;2;;;;;;;;
"Adventures of Lomax, The (USA)";"Adventures of Lomax, The (USA)";Sony PlayStation;;1996;SCEA;Platform;1;;;;;;;;
Agent Armstrong (Europe);Agent Armstrong (Europe);Sony PlayStation;;1997;Virgin Interactive;Action;1;;;;;;;;
Agile Warrior F-111X (USA);Agile Warrior F-111X (USA);Sony PlayStation;;1995;Virgin Interactive;Flying;2;;;;;;;;
Air Combat (USA);Air Combat (USA);Sony PlayStation;;1995;Namco;Flying;2;;;;;;;;
Air Hockey (USA);Air Hockey (USA);Sony PlayStation;;2003;Mud Duck Productions;Action;2;;;;;;;;
Aironauts (Europe);Aironauts (Europe);Sony PlayStation;;1999;Red Storm Entertainment;Action;1;;;;;;;;
Akuji the Heartless (USA);Akuji the Heartless (USA);Sony PlayStation;;1998;Eidos;Platform;1;;;;;;;;
Alex Ferguson's Player Manager 2001 (Europe);Alex Ferguson's Player Manager 2001 (Europe);Sony PlayStation;;2000;3DO;Sports/Soccer;1;;;;;;;;
Alex Ferguson's Player Manager 2002 (Europe);Alex Ferguson's Player Manager 2002 (Europe);Sony PlayStation;;2002;Ubisoft;Sports/Soccer;1;;;;;;;;
"Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)";Alexi Lalas International Soccer (USA);Sony PlayStation;;1999;Take-Two Interactive;Sports/Soccer;2;;;;;;;;
Alexi Lalas International Soccer (USA);Alexi Lalas International Soccer (USA);Sony PlayStation;;1999;Take-Two Interactive;Sports/Soccer;2;;;;;;;;
"Alfred Chicken (Europe) (En,Fr,De,Es,It)";Alfred Chicken (Europe);Sony PlayStation;;2002;SCEE;Action;1;;;;;;;;
Alfred Chicken (Europe);Alfred Chicken (Europe);Sony PlayStation;;2002;SCEE;Action;1;;;;;;;;
Alien Resurrection (USA);Alien Resurrection (USA);Sony PlayStation;;2000;Fox Interactive;Shooter;1;;;;;;;;
Alien Trilogy (USA);Alien Trilogy (USA);Sony PlayStation;;1996;Acclaim;Shooter;1;;;;;;;;
All Star Action (Europe) (Disc 1);All Star Action (Europe) (Disc 1);Sony PlayStation;;2003;Phoenix Games;Miscellaneous;1;;;;;;;;
All Star Action (Europe) (Disc 2);All Star Action (Europe) (Disc 2);Sony PlayStation;;2003;Phoenix Games;Miscellaneous;1;;;;;;;;
All Star Racing (USA);All Star Racing (USA);Sony PlayStation;;2002;Mud Duck Productions;Driving;1;;;;;;;;
All Star Racing 2 (USA);All Star Racing 2 (USA);Sony PlayStation;;2003;Mud Duck Productions;Driving;1;;;;;;;;
All Star Soccer (Europe);All Star Soccer (Europe);Sony PlayStation;;1997;Eidos Interactive;Sports/Soccer;1;;;;;;;;
All Star Watersports (Europe);All Star Watersports (Europe);Sony PlayStation;;2003;Phoenix Games;Sports/Surfing;1;;;;;;;;
All-Star Baseball 97 Featuring Frank Thomas (USA);All-Star Baseball 97 Featuring Frank Thomas (USA);Sony PlayStation;;1997;Acclaim;Sports/Baseball;2;;;;;;;;
All-Star Slammin' D-Ball (USA);All-Star Slammin' D-Ball (USA);Sony PlayStation;;2001;Agetec;Sports;2;;;;;;;;
All-Star Tennis '99 (Europe);All-Star Tennis '99 (Europe);Sony PlayStation;;1998;Ubisoft;Sports/Tennis;2;;;;;;;;
All-Star Tennis 2000 (Europe);All-Star Tennis 2000 (Europe);Sony PlayStation;;2000;Ubisoft;Sports/Tennis;2;;;;;;;;
Allied General (USA);Allied General (USA);Sony PlayStation;;1996;SSI;Strategy;2;;;;;;;;
Alone in the Dark - One-Eyed Jack's Revenge (USA);Alone in the Dark - One-Eyed Jack's Revenge (USA);Sony PlayStation;;1996;THQ;Adventure;1;;;;;;;;
Alone in the Dark - The New Nightmare (USA) (Disc 1);Alone in the Dark - The New Nightmare (USA) (Disc 1);Sony PlayStation;;2001;Infogrames;Adventure;1;;;;;;;;
Alone in the Dark - The New Nightmare (USA) (Disc 2);Alone in the Dark - The New Nightmare (USA) (Disc 2);Sony PlayStation;;2001;Infogrames;Adventure;1;;;;;;;;
Alundra (USA);Alundra (USA);Sony PlayStation;;1997;Working Designs;Adventure;1;;;;;;;;
Alundra (USA) (v1.1);Alundra (USA) (v1.1);Sony PlayStation;;1997;Working Designs;Adventure;1;;;;;;;;
Alundra 2 - A New Legend Begins (USA);Alundra 2 - A New Legend Begins (USA);Sony PlayStation;;2001;Activision;Role-Playing;1;;;;;;;;
"Amazing Virtual Sea-Monkeys, The (USA) (En,Es)";"Amazing Virtual Sea-Monkeys, The (USA)";Sony PlayStation;;2002;SVG Distribution;Virtual Life;1;;;;;;;;
"Amazing Virtual Sea-Monkeys, The (USA)";"Amazing Virtual Sea-Monkeys, The (USA)";Sony PlayStation;;2002;SVG Distribution;Virtual Life;1;;;;;;;;
American Pool (USA);American Pool (USA);Sony PlayStation;;2003;Mud Duck Productions;Sports/Pool and Dart;2;;;;;;;;
Amerzone - The Explorer's Legacy (Europe) (Disc 1);Amerzone - The Explorer's Legacy (Europe) (Disc 1);Sony PlayStation;;1999;Microids;Adventure;1;;;;;;;;
Amerzone - The Explorer's Legacy (Europe) (Disc 2);Amerzone - The Explorer's Legacy (Europe) (Disc 2);Sony PlayStation;;1999;Microids;Adventure;1;;;;;;;;
