#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
2020 Super Baseball (USA);2020 Super Baseball (USA);Super Nintendo Entertainment System;;1993;SNK;Sports/Baseball;2;;;;;;;;
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);Super Nintendo Entertainment System;;1994;Sony Imagesoft;Fighter;2;;;;;;;;
"7th Saga, The (USA)";"7th Saga, The (USA)";Super Nintendo Entertainment System;;1993;Enix America Inc.;Role-Playing;1;;;;;;;;
90 Minutes - European Prime Goal (Europe);90 Minutes - European Prime Goal (Europe);Super Nintendo Entertainment System;;1995;Ocean;Sports/Soccer;;;;;;;;;
A.S.P. - Air Strike Patrol (USA);A.S.P. - Air Strike Patrol (USA);Super Nintendo Entertainment System;;1994;Seta Corporation;Flying;1;;;;;;;;
ABC Monday Night Football (USA);ABC Monday Night Football (USA);Super Nintendo Entertainment System;;1993;Data East;Sports/Football;;;;;;;;;
ACME Animation Factory (USA);ACME Animation Factory (USA);Super Nintendo Entertainment System;;1994;Sun Soft;Puzzle;;;;;;;;;
Aaahh!!! Real Monsters (USA);Aaahh!!! Real Monsters (USA);Super Nintendo Entertainment System;;1995;Viacom New Media;Platform;1;;;;;;;;
ActRaiser (USA);ActRaiser (USA);Super Nintendo Entertainment System;;1991;Enix;Action;1;;;;;;;;
ActRaiser 2 (USA);ActRaiser 2 (USA);Super Nintendo Entertainment System;;1993;Enix;Platform;1;;;;;;;;
Addams Family Values (USA);Addams Family Values (USA);Super Nintendo Entertainment System;;1995;Ocean;Adventure;1;;;;;;;;
"Addams Family, The (USA)";"Addams Family, The (USA)";Super Nintendo Entertainment System;;1992;Ocean;Platform;1;;;;;;;;
"Addams Family, The - Pugsley's Scavenger Hunt (USA)";"Addams Family, The - Pugsley's Scavenger Hunt (USA)";Super Nintendo Entertainment System;;1992;Ocean;Platform;;;;;;;;;
"Adventures of Batman & Robin, The (USA)";"Adventures of Batman & Robin, The (USA)";Super Nintendo Entertainment System;;1994;Konami;Action;;;;;;;;;
"Adventures of Dr. Franken, The (USA)";"Adventures of Dr. Franken, The (USA)";Super Nintendo Entertainment System;;1993;DTMC;Platform;1;;;;;;;;
"Adventures of Kid Kleets, The (USA)";"Adventures of Kid Kleets, The (USA)";Super Nintendo Entertainment System;;1994;Ocean;Platform;;;;;;;;;
"Adventures of Rocky and Bullwinkle and Friends, The (USA)";"Adventures of Rocky and Bullwinkle and Friends, The (USA)";Super Nintendo Entertainment System;;1993;THQ;Platform;1;;;;;;;;
Adventures of Yogi Bear (USA);Adventures of Yogi Bear (USA);Super Nintendo Entertainment System;;1994;Cybersoft;Platform;;;;;;;;;
Aero Fighters (USA);Aero Fighters (USA);Super Nintendo Entertainment System;;1994;Mc O'River;Shooter;2;;;;;;;;
Aero the Acro-Bat (USA);Aero the Acro-Bat (USA);Super Nintendo Entertainment System;;1993;Sun Soft;Platform;1;;;;;;;;
Aero the Acro-Bat 2 (USA);Aero the Acro-Bat 2 (USA);Super Nintendo Entertainment System;;1994;Sun Soft;Platform;1;;;;;;;;
Aerobiz (USA);Aerobiz (USA);Super Nintendo Entertainment System;;1993;Koei;Strategy;4;;;;;;;;
Aerobiz Supersonic (USA);Aerobiz Supersonic (USA);Super Nintendo Entertainment System;;1993;Koei;Strategy;4;;;;;;;;
Air Cavalry (USA);Air Cavalry (USA);Super Nintendo Entertainment System;;1995;Cybersoft;Action;2;;;;;;;;
Al Unser Jr.'s Road to the Top (USA);Al Unser Jr.'s Road to the Top (USA);Super Nintendo Entertainment System;;1994;Software Toolworks;Driving;;;;;;;;;
Aladdin (USA);Aladdin (USA);Super Nintendo Entertainment System;;1993;Capcom;Platform;;;;;;;;;
Alien 3 (USA);Alien 3 (USA);Super Nintendo Entertainment System;;1993;LJN Ltd.;Platform;1;;;;;;;;
Alien vs. Predator (USA);Alien vs. Predator (USA);Super Nintendo Entertainment System;;1993;Activision;Fighter;2;;;;;;;;
American Gladiators (USA);American Gladiators (USA);Super Nintendo Entertainment System;;1993;GameTek;Sports;8;;;;;;;;
"American Tail, An - Fievel Goes West (USA)";"American Tail, An - Fievel Goes West (USA)";Super Nintendo Entertainment System;;1994;Hudson;Platform;1;;;;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis (USA);Super Nintendo Entertainment System;;1994;TecMagik;Sports/Tennis;2;;;;;;;;
Animaniacs (USA);Animaniacs (USA);Super Nintendo Entertainment System;;1994;Konami;Platform;;;;;;;;;
Apocalypse II (Europe) (Proto);Apocalypse II (Europe) (Proto);Super Nintendo Entertainment System;;1995;Psygnosis;Shooter;;;;;;;;;
Arcade's Greatest Hits (USA);Arcade's Greatest Hits (USA);Super Nintendo Entertainment System;;1996;Midway;Miscellaneous;;;;;;;;;
Arcade's Greatest Hits - The Atari Collection 1 (USA);Arcade's Greatest Hits - The Atari Collection 1 (USA);Super Nintendo Entertainment System;;1997;Midway;Miscellaneous;2;;;;;;;;
Arcana (USA);Arcana (USA);Super Nintendo Entertainment System;;1992;Hal;Role-Playing;1;;;;;;;;
Archer Maclean's Super Dropzone (Europe);Archer Maclean's Super Dropzone (Europe);Super Nintendo Entertainment System;;1995;Psygnosis;Shooter;;;;;;;;;
Arcus Odyssey (USA) (Proto);Arcus Odyssey (USA) (Proto);Super Nintendo Entertainment System;;1993;Sammy;Role-Playing;2;;;;;;;;
Ardy Lightfoot (USA);Ardy Lightfoot (USA);Super Nintendo Entertainment System;;1996;Titus Software;Platform;1;;;;;;;;
Arkanoid - Doh It Again (USA);Arkanoid - Doh It Again (USA);Super Nintendo Entertainment System;;1997;Nintendo;Action;2;;;;;;;;
Art of Fighting (USA);Art of Fighting (USA);Super Nintendo Entertainment System;;1993;SNK;Fighter;2;;;;;;;;
Asterix & Obelix (Europe);Asterix & Obelix (Europe);Super Nintendo Entertainment System;;1995;Infogrames;Platform;2;;;;;;;;
Asterix (Europe);Asterix (Europe);Super Nintendo Entertainment System;;1996;Infogrames;Platform;;;;;;;;;
Axelay (USA);Axelay (USA);Super Nintendo Entertainment System;;1992;Konami;Shooter;1;;;;;;;;
B.O.B. (USA);B.O.B. (USA);Super Nintendo Entertainment System;;1993;Electronic Arts;Action;1;;;;;;;;
BASS Masters Classic (USA);BASS Masters Classic (USA);Super Nintendo Entertainment System;;1995;Malibu;Sports;;;;;;;;;
BASS Masters Classic - Pro Edition (USA);BASS Masters Classic - Pro Edition (USA);Super Nintendo Entertainment System;;1996;Black Pearl;Sports;;;;;;;;;
Ballz 3D - Fighting at Its Ballziest (USA);Ballz 3D - Fighting at Its Ballziest (USA);Super Nintendo Entertainment System;;1995;Accolade;Fighter;2;;;;;;;;
Barbie Super Model (USA);Barbie Super Model (USA);Super Nintendo Entertainment System;;1993;Hi-Tech;Action;2;;;;;;;;
Barbie Vacation Adventure (USA) (Proto);Barbie Vacation Adventure (USA) (Proto);Super Nintendo Entertainment System;;1994;Software Creations;Miscellaneous;2;;;;;;;;
Barkley Shut Up and Jam! (USA);Barkley Shut Up and Jam! (USA);Super Nintendo Entertainment System;;1994;Accolade;Sports/Basketball;4;;;;;;;;
Bassin's Black Bass (USA);Bassin's Black Bass (USA);Super Nintendo Entertainment System;;1994;Hot-B;Sports;1;;;;;;;;
Batman - Revenge of the Joker (USA) (Proto);Batman - Revenge of the Joker (USA) (Proto);Super Nintendo Entertainment System;;1992;ICOM Simulations;Platform;;;;;;;;;
Batman Forever (USA);Batman Forever (USA);Super Nintendo Entertainment System;;1995;Acclaim;Fighter;2;;;;;;;;
Batman Returns (USA);Batman Returns (USA);Super Nintendo Entertainment System;;1993;Konami;Fighter;;;;;;;;;
Battle Blaze (USA);Battle Blaze (USA);Super Nintendo Entertainment System;;1993;Sammy Studios;Fighter;2;;;;;;;;
Battle Cars (USA);Battle Cars (USA);Super Nintendo Entertainment System;;1993;Namco;Action;8;;;;;;;;
Battle Clash (USA);Battle Clash (USA);Super Nintendo Entertainment System;;1992;Nintendo;Shooter;2;;;;;;;;
Battle Grand Prix (USA);Battle Grand Prix (USA);Super Nintendo Entertainment System;;1993;Hudson Soft;Driving;;;;;;;;;
Battletoads & Double Dragon (USA);Battletoads & Double Dragon (USA);Super Nintendo Entertainment System;;1993;Tradewest;Platform;2;;;;;;;;
Battletoads in Battlemaniacs (USA);Battletoads in Battlemaniacs (USA);Super Nintendo Entertainment System;;1993;Tradewest;Fighter;2;;;;;;;;
Bazooka Blitzkrieg (USA);Bazooka Blitzkrieg (USA);Super Nintendo Entertainment System;;1992;Bandai;Shooter;;;;;;;;;
Beauty and the Beast (USA);Beauty and the Beast (USA);Super Nintendo Entertainment System;;1994;Hudson;Platform;;;;;;;;;
Beavis and Butt-Head (USA);Beavis and Butt-Head (USA);Super Nintendo Entertainment System;;1994;Viacom New Media;Adventure;;;;;;;;;
Bebe's Kids (USA);Bebe's Kids (USA);Super Nintendo Entertainment System;;1994;Motown Games;Fighter;;;;;;;;;
Beethoven - The Ultimate Canine Caper! (USA);Beethoven - The Ultimate Canine Caper! (USA);Super Nintendo Entertainment System;;1993;Hi Tech Expressions;Platform;;;;;;;;;
